phi_0_init,gamma_init,lambda_init,phi_0_hat,gamma_hat,lambda_hat,phi_0_SE,gamma_SE,lambda_SE,phi_0_gamma_cor,phi_0_lambda_cor,gamma_lambda_cor,lambda_SE_sign
0.1,0.01,0.01,0.327842944,0.08411449,0.011215166,0.025950059,0.003301443,0.000466903,0.829983774,8.81E-11,4.48E-11,1
0.1,0.01,0.1,0.342645664,0.05648183,0.086286127,0.02716074,0.003460383,0.003620759,0.826704058,-0.008507902,-0.038621834,1
0.1,0.01,0.2,0.334170492,0.05102596,0.102780574,0.028535539,0.003609413,0.004071573,0.855944312,7.31E-05,2.84E-05,1
0.1,0.1,0.01,0.333966993,0.083991129,0.013028722,0.026699773,0.003356443,0.000541908,0.83367724,-8.37E-09,-3.68E-08,1
0.1,0.1,0.1,0.323798787,0.058420012,0.075579697,0.025781452,0.003435308,0.003046664,0.832177248,1.42E-08,-1.31E-09,1
0.1,0.1,0.2,0.304299721,0.034065398,0.155148563,0.025902795,0.003460155,0.005939104,0.85497082,2.28E-11,-6.19E-11,1
0.1,0.5,0.01,0.328252064,0.086134463,0.00892667,0.026521006,0.003384928,0.000371952,0.837477091,1.23E-05,4.73E-06,1
0.1,0.5,0.1,0.345817825,0.059811751,0.077962088,0.026661561,0.003478384,0.003149673,0.819785178,2.57E-06,-9.31E-06,1
0.1,0.5,0.2,0.110509813,1.00E-06,0.196774321,0.006961758,0.002590404,0.007331817,0.712758284,0.004317125,0.003118192,1
1,0.01,0.01,0.324922459,0.083272898,0.013682316,0.026266363,0.003341291,0.000568603,0.837679878,-1.85E-13,-3.96E-13,1
1,0.01,0.1,0.331355039,0.056111195,0.083517806,0.029641058,0.003572951,0.00345541,0.865247604,0.027229362,0.004321072,1
1,0.01,0.2,0.336524668,0.047136872,0.117762168,0.03016893,0.003729352,0.004625691,0.868815747,0.003359433,0.00089131,1
1,0.1,0.01,0.328151683,0.08591455,0.008994699,0.026197334,0.003291008,0.000374742,0.833152741,5.17E-09,5.14E-09,1
1,0.1,0.1,0.342467128,0.067262592,0.053045864,0.026353388,0.003366022,0.001976239,0.921363211,-0.425556396,0.226484411,-1
1,0.1,0.2,0.308896684,0.044914366,0.11446678,0.027355654,0.003642428,0.004501888,0.866846919,-0.001437556,-0.001954726,1
1,0.5,0.01,0.34392922,0.086953535,0.009302059,0.029511129,0.003516655,0.000391192,0.856459643,0.00472666,0.000630125,1
1,0.5,0.1,0.336226941,0.060765878,0.071789849,0.029391919,0.003615297,0.002888653,0.863082204,1.80E-07,-5.83E-08,1
1,0.5,0.2,0.315548762,0.052154044,0.093262675,0.02701643,0.003554786,0.003707248,0.856781582,-3.19E-07,-4.08E-07,1
3,0.01,0.01,0.341194778,0.082094458,0.017770523,0.026605331,0.00330915,0.0007375,0.824261921,8.22E-06,-9.92E-06,1
3,0.01,0.1,0.347735238,0.051366096,0.106214624,0.027963014,0.00343163,0.001820726,0.904868257,-0.408435143,0.539618837,-1
3,0.01,0.2,0.310883569,0.052162183,0.089072585,0.02501402,0.003425877,0.003568169,0.8360022,-1.12E-07,-2.35E-07,1
3,0.1,0.01,0.33782934,0.085884202,0.010060738,0.026942538,0.003365083,0.000418973,0.83277924,-1.18E-08,-1.59E-08,1
3,0.1,0.1,0.335070773,0.056254569,0.085581341,0.025603995,0.003324976,0.003432664,0.816178102,2.13E-05,-2.81E-07,1
3,0.1,0.2,0.321832214,0.056257859,0.082056009,0.024878806,0.003360538,0.003298108,0.820853832,2.48E-10,-3.17E-11,1
3,0.5,0.01,0.335167338,0.086187712,0.010037321,0.024376031,0.003276043,0.0004002,0.837074331,0.584907784,0.237591216,-1
3,0.5,0.1,0.358730059,0.058107919,0.086129693,0.032732501,0.003734766,0.003436781,0.87513915,-4.00E-10,-4.51E-10,1
3,0.5,0.2,0.329072496,0.045383037,0.121596197,0.028518426,0.003605117,0.004757394,0.860496241,-1.43E-14,-9.31E-15,1
