par_comb,phi_0_init,gamma_init,lambda_init,phi_0_hat,gamma_hat,lambda_hat,phi_0_SE,gamma_SE,lambda_SE,phi_0_gamma_cor,phi_0_lambda_cor,gamma_lambda_cor,M_final,num_iters,log_LR_estimates,phi_0_SE_sign,gamma_SE_sign,lambda_SE_sign
1,0.1,0.01,0.05,0.3261885391469587,0.06286312382958735,0.06385400991582542,0.024678469616531258,0.003293795419946058,0.0027055884398369816,0.8021526808324206,0.030846552704520937,-0.006380258749877557,451,115,61.71251474169567,1.0,1.0,1.0
1,0.1,0.01,0.05,0.337551849455155,0.06959601331985733,0.04708080008873847,0.027435414193081955,0.0033644102939269557,0.001965034025407472,0.8395222168892235,-0.01378511441071908,-0.019009342843499772,1080,70,-22.952981328186322,1.0,1.0,1.0
2,0.1,0.01,0.1,0.3417269091467258,0.05952710582236598,0.07655282174887094,0.028895856099413995,0.0037269294314217745,0.004564535200499792,0.83044085540766,-0.06911823271510456,-0.21576279498041237,756,47,95.4920637672053,1.0,1.0,1.0
2,0.1,0.01,0.1,0.30985688334187383,0.0548370247991357,0.08163575651216061,0.026780340550326406,0.003530539759590144,0.0033796742096784795,0.8542781959820751,-0.02207490135522944,-0.037365751331965305,215,78,101.77500577500793,1.0,1.0,1.0
3,0.1,0.01,0.2,0.3370544101329818,0.0608823864527189,0.07117866694118404,0.029095790486746813,0.0036363753372849823,0.00301173333801386,0.8589063823322513,0.020728368983508147,0.023350193700997272,470,77,84.73372193595412,1.0,1.0,1.0
3,0.1,0.01,0.2,0.3336044533499433,0.056213225222385074,0.08581941264765974,0.028357850476945612,0.0036214903014139934,0.0034386129676410417,0.8545327639928272,1.0067611817046047e-10,2.1005270315809584e-11,273,92,105.18919860638346,1.0,1.0,1.0
4,0.1,0.1,0.05,0.3368048470925879,0.06854346987081576,0.051432147472530956,0.02693766446847286,0.003343908992607202,0.0021418449386873674,0.8334378205936276,-0.010821288610049324,-0.01884102863154879,108,86,1.4468639342916378,1.0,1.0,1.0
4,0.1,0.1,0.05,0.3385362770700987,0.0668640552244428,0.05568510228167436,0.02728216867602442,0.0034405856603063134,0.002268642574324204,0.8365706582710998,8.989297407630551e-6,3.0138037049613385e-6,508,29,26.46076409772022,1.0,1.0,1.0
5,0.1,0.1,0.1,0.3290996374640358,0.06562016001239634,0.055316110898824135,0.02760874670309973,0.0034592659776712356,0.0022474699262673907,0.8503074595509414,9.501226723122487e-10,2.2614399721048371e-10,180,61,25.46491446624729,1.0,1.0,1.0
5,0.1,0.1,0.1,0.32789531775557923,0.0539815963395704,0.09151489302362513,0.02589033979313922,0.0034173805543105105,0.003659253099951632,0.8290531719871657,1.3270167318277036e-5,2.1390444375901375e-6,120,90,106.59982027320629,1.0,1.0,1.0
