par_comb,phi_0_init,gamma_init,lambda_init,phi_0_hat,gamma_hat,lambda_hat,phi_0_SE,gamma_SE,lambda_SE,phi_0_gamma_cor,phi_0_lambda_cor,gamma_lambda_cor,M_final,log_LR_estimates,phi_0_SE_sign,gamma_SE_sign,lambda_SE_sign
5,0.1,0.1,0.1,0.332099281,0.054791869,0.090317296,0.027485443,0.003512469,0.00360893,0.8457363,0.000329051,-8.48E-06,6,106.5626187,1,1,1
23,3,0.1,0.1,0.327184942,0.054010392,0.089236363,0.029137764,0.003678907,0.003688808,0.863853599,-0.019353825,-0.044035284,71,106.4237297,1,1,1
17,1,0.5,0.1,0.331913428,0.05497213,0.088832082,0.025694417,0.003460226,0.003560773,0.821414601,-6.80E-10,-2.09E-08,6,106.3513923,1,1,1
3,0.1,0.01,0.2,0.343033499,0.055211293,0.090206103,0.029446262,0.003578419,0.003702074,0.854951467,-0.011062884,0.005241327,9,106.2757815,1,1,1
26,3,0.5,0.1,0.33600891,0.055575561,0.088503592,0.029495579,0.003755344,0.003543657,0.864300585,-8.76E-05,-0.000208108,67,106.2339281,1,1,1
20,3,0.01,0.1,0.346734944,0.056432687,0.088183701,0.032903448,0.003937526,0.003516587,0.885173054,4.38E-11,2.56E-11,21,105.9553034,1,1,1
20,3,0.01,0.1,0.329855735,0.052926348,0.094370824,0.0277826,0.003574212,0.003802479,0.844309256,0.010162428,0.000187413,14,105.8601036,1,1,1
24,3,0.1,0.2,0.339504653,0.053576712,0.095848242,0.030863343,0.00374778,0.003805373,0.874140495,2.40E-09,-2.10E-09,18,105.1458223,1,1,1
5,0.1,0.1,0.1,0.303388647,0.049795924,0.09562728,0.028014563,0.003548952,0.005117068,0.800467501,0.235843933,-0.006861175,6,105.0931079,1,1,1
18,1,0.5,0.2,0.330447585,0.052450973,0.096461785,0.031770939,0.003726586,0.003922506,0.857789297,0.077816654,0.043376413,12,104.9454368,1,1,1
11,1,0.01,0.1,0.338599532,0.053217305,0.096487195,0.032430148,0.003640346,0.004603965,0.783654029,0.223473181,0.008849922,6,104.7718191,1,1,1
14,1,0.1,0.1,0.345197646,0.056682222,0.084712748,0.03294892,0.003939189,0.003390695,0.886570763,-9.79E-05,-0.000108539,6,104.5974499,1,1,1
14,1,0.1,0.1,0.337096436,0.05291256,0.097307341,0.031582888,0.00379958,0.003851377,0.882004158,0,0,6,104.3801892,1,1,1
8,0.1,0.5,0.1,0.325345494,0.051477237,0.098144683,0.028976749,0.003618273,0.004021119,0.851532193,0.063150317,0.025726639,6,103.9782572,1,1,1
6,0.1,0.1,0.2,0.33754827,0.057336107,0.082415462,0.026847748,0.00340033,0.003307625,0.83178468,4.60E-07,-1.67E-07,6,102.8318447,1,1,1
8,0.1,0.5,0.1,0.332831262,0.057289605,0.079963338,0.034714026,0.003774794,0.004035496,0.844011218,0.299316931,0.144749467,6,100.5159702,1,1,1
21,3,0.01,0.2,0.316631587,0.04865654,0.105460722,0.027635191,0.003737973,0.006243261,0.821305713,0.019472917,-0.177757215,24,98.78608591,1,1,1
23,3,0.1,0.1,0.338629508,0.050288161,0.105879389,0.027299738,0.003543124,0.004208419,0.83669944,-0.000450423,-0.000586643,6,97.53933931,1,1,1
2,0.1,0.01,0.1,0.337785847,0.059223833,0.075827653,0.030558948,0.003827543,0.004046997,0.838129773,-0.039956291,-0.226806601,6,94.45903111,1,1,1
